Spur;Lkw;Lkw_avgSpeed;Pkw;Pkw_avgSpeed;Day_of_week;Hour;Minute
DG4;;;3;68;1;0;0
DG5;2;59;15;73;1;0;0
DG6;;;1;66;1;0;0
DG8;2;64;9;77;1;0;0
DG9;;;7;72;1;0;0
DG10;1;72;8;76;1;0;0
DG27;2;56;1;59;1;0;0
DG28;1;62;;;1;0;0
DG33;2;7;;;1;0;0
DG31;2;73;;;1;0;0
DG32;2;66;2;78;1;0;0
DG37;1;29;;;1;0;0
DG50;;;8;56;1;0;0
DG51;3;6;4;68;1;0;0
DG52;1;47;;;1;0;0
DG56;3;39;;;1;0;0
DG57;;;1;52;1;0;0
DG68;;;4;65;1;0;0
DG69;;;4;51;1;0;0
DG63;1;55;;;1;0;0
DG58;2;34;4;55;1;0;0
DG59;;;22;42;1;0;0
DG70;;;2;61;1;0;0
DG72;1;57;;;1;0;0
DG74;;;3;59;1;0;0
DG75;2;57;;;1;0;0
DG43;1;21;;;1;0;0
DG44;1;43;3;55;1;0;0
DG45;2;44;16;51;1;0;0
DG46;3;5;6;52;1;0;0
DG47;;;3;49;1;0;0
DG49;1;5;1;53;1;0;0
DG40;;;1;45;1;0;0
DG41;;;1;118;1;0;0
DG42;1;3;;;1;0;0
DG85;1;43;;;1;0;0
DG1;;;1;56;1;0;5
DG3;2;44;2;5;1;0;5
DG4;;;1;86;1;0;5
DG5;2;6;1;75;1;0;5
DG6;1;54;2;58;1;0;5
DG7;1;59;;;1;0;5
DG8;2;68;6;75;1;0;5
DG9;;;5;78;1;0;5
DG10;2;62;5;65;1;0;5
DG12;;;1;74;1;0;5
DG27;;;1;57;1;0;5
DG28;5;57;;;1;0;5
DG33;3;59;1;6;1;0;5
DG34;1;48;1;65;1;0;5
DG31;;;1;6;1;0;5
DG32;;;2;63;1;0;5
DG37;1;32;;;1;0;5
DG38;5;16;;;1;0;5
DG53;1;27;1;35;1;0;5
DG54;1;35;1;33;1;0;5
DG50;4;48;4;57;1;0;5
DG51;1;55;3;5;1;0;5
DG52;;;1;62;1;0;5
DG56;3;5;1;64;1;0;5
DG57;;;2;4;1;0;5
DG68;;;5;66;1;0;5
DG69;;;1;75;1;0;5
DG58;;;2;47;1;0;5
DG59;1;52;6;56;1;0;5
DG70;1;49;1;58;1;0;5
DG74;1;69;1;59;1;0;5
DG75;;;2;69;1;0;5
DG43;1;45;;;1;0;5
DG44;3;33;;;1;0;5
DG45;4;43;6;46;1;0;5
DG46;1;58;4;51;1;0;5
DG49;3;48;;;1;0;5
DG42;1;25;;;1;0;5
DG82;1;35;1;57;1;0;5
DG85;;;2;47;1;0;5
DG1;;;1;69;1;0;10
DG3;2;42;1;52;1;0;10
DG4;;;3;67;1;0;10
DG5;1;69;7;73;1;0;10
DG6;1;77;3;69;1;0;10
DG8;1;74;6;71;1;0;10
DG9;1;73;5;78;1;0;10
DG10;1;71;8;72;1;0;10
DG13;;;1;54;1;0;10
DG27;1;39;;;1;0;10
DG28;1;44;;;1;0;10
DG33;;;2;72;1;0;10
DG31;1;57;;;1;0;10
DG32;;;1;97;1;0;10
DG37;2;3;1;4;1;0;10
DG38;1;12;1;25;1;0;10
DG54;;;1;53;1;0;10
DG50;;;4;49;1;0;10
DG51;;;1;51;1;0;10
DG52;3;53;;;1;0;10
DG56;7;49;;;1;0;10
DG57;1;47;;;1;0;10
DG68;2;61;8;59;1;0;10
DG69;1;51;2;62;1;0;10
DG63;1;43;;;1;0;10
DG58;2;35;1;55;1;0;10
DG59;;;4;47;1;0;10
DG70;1;48;;;1;0;10
DG74;1;54;1;63;1;0;10
DG75;;;1;71;1;0;10
DG76;;;1;57;1;0;10
DG44;2;4;;;1;0;10
DG45;;;1;45;1;0;10
DG46;2;49;3;61;1;0;10
DG48;1;46;;;1;0;10
DG49;1;43;;;1;0;10
DG41;1;39;;;1;0;10
DG42;;;1;44;1;0;10
DG85;;;2;58;1;0;10
DG3;3;46;2;55;1;0;15
DG4;2;54;2;57;1;0;15
DG5;1;4;3;63;1;0;15
DG6;2;66;1;93;1;0;15
DG7;1;77;1;68;1;0;15
DG8;;;1;68;1;0;15
DG9;2;56;2;68;1;0;15
DG10;3;69;;;1;0;15
DG12;1;42;;;1;0;15
DG27;1;53;;;1;0;15
DG28;1;62;1;67;1;0;15
DG33;;;1;57;1;0;15
DG34;1;54;;;1;0;15
DG31;1;64;;;1;0;15
DG32;;;1;77;1;0;15
DG37;2;36;;;1;0;15
DG38;3;15;1;2;1;0;15
DG54;;;1;4;1;0;15
DG50;2;48;4;64;1;0;15
DG51;3;59;4;66;1;0;15
DG52;1;55;;;1;0;15
DG56;3;51;;;1;0;15
DG68;;;4;74;1;0;15
DG63;1;57;;;1;0;15
DG58;;;2;44;1;0;15
DG59;1;22;8;46;1;0;15
DG60;1;29;;;1;0;15
DG71;;;1;73;1;0;15
DG72;2;43;;;1;0;15
DG75;3;44;;;1;0;15
DG44;5;3;5;38;1;0;15
DG45;;;4;41;1;0;15
DG46;2;44;3;6;1;0;15
DG47;;;1;53;1;0;15
DG49;1;72;;;1;0;15
DG41;4;54;1;62;1;0;15
DG42;2;39;;;1;0;15
DG82;1;33;1;38;1;0;15
DG86;;;1;43;1;0;15
DG1;;;1;9;1;0;20
DG3;1;44;4;53;1;0;20
DG4;1;61;1;6;1;0;20
DG5;2;61;1;64;1;0;20
DG6;1;57;2;72;1;0;20
DG7;;;1;82;1;0;20
DG8;2;62;2;7;1;0;20
DG9;1;62;1;8;1;0;20
DG10;2;61;2;73;1;0;20
DG27;2;48;2;46;1;0;20
DG33;;;1;87;1;0;20
DG34;;;1;77;1;0;20
DG31;;;1;76;1;0;20
DG32;;;1;118;1;0;20
DG37;1;51;;;1;0;20
DG38;1;16;2;17;1;0;20
DG53;;;1;57;1;0;20
DG54;;;1;55;1;0;20
DG50;2;62;1;44;1;0;20
DG51;;;6;6;1;0;20
DG52;1;51;1;48;1;0;20
DG56;3;51;1;43;1;0;20
DG57;1;66;1;58;1;0;20
DG68;1;6;5;59;1;0;20
DG69;1;53;4;6;1;0;20
DG63;2;44;1;47;1;0;20
DG58;;;6;41;1;0;20
DG59;2;43;4;47;1;0;20
DG60;1;27;1;38;1;0;20
DG70;1;45;1;65;1;0;20
DG71;;;1;69;1;0;20
DG72;1;63;2;56;1;0;20
DG74;1;56;2;74;1;0;20
DG75;1;64;4;65;1;0;20
DG45;;;2;46;1;0;20
DG46;1;49;6;52;1;0;20
DG47;;;1;78;1;0;20
DG42;;;2;51;1;0;20
DG82;;;1;43;1;0;20
