ID;Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;End_hour;End_minute;Start_hour;Start_minute
0;105;22;K1;75;74;36;10522;1;13;30;9;0
1;105;22;K1;75;74;36;10522;1;19;0;17;0
2;105;22;K1;75;74;36;10522;2;13;30;9;0
3;105;22;K1;75;74;36;10522;2;19;0;17;0
4;105;22;K1;75;74;36;10522;3;13;30;9;0
5;105;22;K1;75;74;36;10522;3;19;0;17;0
6;105;22;K1;75;74;36;10522;4;13;30;9;0
7;105;22;K1;75;74;36;10522;4;19;0;17;0
8;105;22;K1;75;74;36;10522;5;13;30;9;0
9;105;22;K1;75;74;36;10522;5;19;0;17;0
10;105;22;K1;75;74;36;10522;6;19;0;5;0
11;105;22;K1;75;74;36;10522;7;23;59;5;0
12;105;22;K2;75;62;36;10522;1;13;30;9;0
13;105;22;K2;75;62;36;10522;1;19;0;17;0
14;105;22;K2;75;62;36;10522;2;13;30;9;0
15;105;22;K2;75;62;36;10522;2;19;0;17;0
16;105;22;K2;75;62;36;10522;3;13;30;9;0
17;105;22;K2;75;62;36;10522;3;19;0;17;0
18;105;22;K2;75;62;36;10522;4;13;30;9;0
19;105;22;K2;75;62;36;10522;4;19;0;17;0
20;105;22;K2;75;62;36;10522;5;13;30;9;0
21;105;22;K2;75;62;36;10522;5;19;0;17;0
22;105;22;K2;75;62;36;10522;6;19;0;5;0
23;105;22;K2;75;62;36;10522;7;23;59;5;0
24;105;22;K3;75;9;56;10522;1;13;30;9;0
25;105;22;K3;75;9;56;10522;1;19;0;17;0
26;105;22;K3;75;9;56;10522;2;13;30;9;0
27;105;22;K3;75;9;56;10522;2;19;0;17;0
28;105;22;K3;75;9;56;10522;3;13;30;9;0
29;105;22;K3;75;9;56;10522;3;19;0;17;0
30;105;22;K3;75;9;56;10522;4;13;30;9;0
31;105;22;K3;75;9;56;10522;4;19;0;17;0
32;105;22;K3;75;9;56;10522;5;13;30;9;0
33;105;22;K3;75;9;56;10522;5;19;0;17;0
34;105;22;K3;75;9;56;10522;6;19;0;5;0
35;105;22;K3;75;9;56;10522;7;23;59;5;0
36;105;22;K4;75;39;55;10522;1;13;30;9;0
37;105;22;K4;75;39;55;10522;1;19;0;17;0
38;105;22;K4;75;39;55;10522;2;13;30;9;0
39;105;22;K4;75;39;55;10522;2;19;0;17;0
40;105;22;K4;75;39;55;10522;3;13;30;9;0
41;105;22;K4;75;39;55;10522;3;19;0;17;0
42;105;22;K4;75;39;55;10522;4;13;30;9;0
43;105;22;K4;75;39;55;10522;4;19;0;17;0
44;105;22;K4;75;39;55;10522;5;13;30;9;0
45;105;22;K4;75;39;55;10522;5;19;0;17;0
46;105;22;K4;75;39;55;10522;6;19;0;5;0
47;105;22;K4;75;39;55;10522;7;23;59;5;0
48;105;22;K5;75;41;71;10522;1;13;30;9;0
49;105;22;K5;75;41;71;10522;1;19;0;17;0
50;105;22;K5;75;41;71;10522;2;13;30;9;0
51;105;22;K5;75;41;71;10522;2;19;0;17;0
52;105;22;K5;75;41;71;10522;3;13;30;9;0
53;105;22;K5;75;41;71;10522;3;19;0;17;0
54;105;22;K5;75;41;71;10522;4;13;30;9;0
