timestamp,DG15,DG16,DG22,DG23,DG24,DG25,DG26,DG77,DG78,DG79,DG80,DG81,WIM11,WIM12,WIM21,WIM22
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,7,2,1,0,6,1,22,5,0,0,1,1,40,40
10:16:00,1,1,12,4,3,4,5,2,19,9,6,5,1,1,48,48
10:21:00,1,1,13,4,12,9,9,15,11,12,8,4,1,2,33,33
10:26:00,1,1,11,8,4,5,6,7,24,3,9,4,0,3,27,27
10:31:00,1,1,3,4,6,7,5,10,17,17,4,1,1,9,28,28
10:36:00,1,1,5,2,1,2,7,1,9,2,0,6,0,4,39,39
10:41:00,1,1,7,4,10,7,10,2,16,12,5,4,0,1,18,18
10:46:00,1,1,8,7,0,5,8,11,20,8,4,2,1,4,42,42
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,1,3,0,0,6,0,22,6,1,1,1,0,40,40
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,3,0,0,0,6,1,22,6,0,0,1,0,40,40
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,6,0,0,0,6,1,22,3,1,0,1,0,40,40
10:16:00,1,1,15,3,7,52,5,2,19,11,2,10,1,0,48,48
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,3,1,1,0,6,1,22,6,0,0,0,0,40,40
10:16:00,1,1,9,4,12,44,5,6,19,7,2,3,1,0,48,48
10:21:00,1,1,10,6,4,71,9,16,11,14,6,7,1,5,33,33
10:26:00,1,1,11,2,3,10,6,5,24,7,4,5,1,5,27,27
10:31:00,1,1,5,3,6,26,5,2,17,5,6,5,0,2,28,28
10:36:00,1,1,6,4,8,33,7,4,9,8,2,2,1,3,39,39
10:41:00,1,1,7,4,6,1,10,4,16,11,3,6,0,3,18,18
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,1,1,0,0,6,0,22,3,1,1,0,0,40,40
10:16:00,1,1,14,3,6,57,5,5,19,9,2,5,1,1,48,48
10:21:00,1,1,10,4,9,87,9,9,11,9,8,16,0,2,33,33
10:26:00,1,1,10,3,7,36,6,7,24,9,4,6,1,4,27,27
10:31:00,1,1,5,1,7,1,5,6,17,7,5,7,1,3,28,28
10:36:00,1,1,2,3,4,30,7,4,9,9,0,7,1,5,39,39
10:41:00,1,1,7,3,8,39,10,4,16,8,4,3,1,3,18,18
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,1,1,1,0,6,0,22,6,1,0,1,0,40,40
10:16:00,1,1,12,5,3,0,5,1,19,7,4,5,1,2,48,48
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,4,1,0,1,6,2,22,4,0,0,1,0,40,40
10:16:00,1,1,9,4,4,49,5,4,19,8,1,3,1,1,48,48
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,4,0,0,0,6,0,22,5,0,0,0,0,40,40
10:16:00,1,1,8,6,2,12,5,2,19,5,2,2,2,2,48,48
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,3,1,0,0,6,1,22,4,0,0,0,0,40,40
10:16:00,1,1,8,3,2,0,5,1,19,8,1,1,2,0,48,48
10:21:00,1,1,7,2,5,78,9,6,11,9,2,9,0,3,33,33
10:26:00,1,1,7,5,4,104,6,5,24,6,1,6,1,1,27,27
10:31:00,1,1,6,5,9,89,5,6,17,8,4,3,1,5,28,28
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,2,2,1,0,6,0,22,9,1,0,1,0,40,40
10:16:00,1,1,10,4,2,5,5,2,19,8,3,2,1,1,48,48
10:21:00,1,1,12,3,8,72,9,11,11,7,6,2,0,1,33,33
10:26:00,1,1,6,3,4,107,6,9,24,10,5,5,1,2,27,27
10:31:00,1,1,10,1,5,98,5,5,17,7,3,4,1,2,28,28
10:36:00,1,1,7,3,3,52,7,3,9,2,3,7,1,1,39,39
10:41:00,1,1,6,1,6,94,10,2,16,5,7,7,1,4,18,18
10:46:00,1,1,7,4,3,4,8,5,20,6,4,1,0,1,37,37
10:51:00,1,1,0,1,1,0,8,0,21,0,0,1,1,0,25,25
10:56:00,1,1,1,1,0,0,5,0,18,0,0,1,0,2,28,28
11:1:00,1,1,2,0,1,1,9,0,11,2,1,1,0,0,16,16
11:6:00,1,1,0,1,0,0,2,0,3,0,1,0,0,0,3,3
11:11:00,1,1,0,0,0,0,2,0,11,0,0,0,0,1,11,11
11:16:00,1,1,0,1,0,0,6,0,11,0,0,0,0,0,11,11
11:21:00,1,1,0,0,0,0,3,0,10,0,0,0,0,0,10,10
11:26:00,1,1,1,0,0,0,9,0,11,1,1,0,0,0,11,11
11:31:00,1,1,0,0,0,0,5,0,10,0,1,0,0,0,10,10
11:36:00,1,1,1,0,0,0,6,0,11,0,0,0,0,0,11,11
11:41:00,1,1,0,0,0,0,7,2,13,1,0,0,0,0,15,15
11:46:00,1,1,1,0,1,0,9,3,13,5,3,0,0,2,42,42
11:51:00,1,1,4,1,0,0,6,1,18,1,0,0,0,0,38,38
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:11:00,1,1,5,1,1,0,4,1,20,5,1,2,1,0,32,32
22:16:00,1,1,2,1,12,1,3,3,17,9,2,7,1,1,34,34
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,4,3,1,0,6,0,22,6,0,0,1,1,40,40
10:16:00,1,1,9,4,11,35,5,5,19,8,3,5,0,3,48,48
10:21:00,1,1,8,6,7,25,9,12,11,10,1,5,0,2,33,33
10:26:00,1,1,11,6,1,56,6,9,24,4,5,5,1,3,27,27
10:31:00,1,1,3,3,1,19,5,7,17,4,7,2,0,6,28,28
10:36:00,1,1,7,3,4,22,7,5,9,4,2,6,1,4,39,39
10:41:00,1,1,7,2,6,33,10,5,16,6,5,8,1,1,18,18
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,7,3,0,33,6,0,22,4,0,0,0,0,40,40
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:11:00,1,1,2,2,1,1,6,1,22,7,0,0,1,0,40,40
10:16:00,1,1,7,9,2,0,5,1,19,3,3,5,1,0,48,48
10:1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
