counter;destination;nb_cars;nb_trucks;hour;minute
OD1;OD9;1;;0;0
OD2;OD3;1;;0;0
OD3;OD2;1;;0;0
OD3;OD4;5;;0;0
OD3;OD6;0,4;;0;0
OD3;OD10;12;;0;0
OD4;OD3;6;;0;0
OD4;OD9;1;;0;0
OD4;OD10;5;;0;0
OD9;OD1;1;;0;0
OD9;OD4;2;;0;0
OD9;OD6;0,3;;0;0
OD9;OD10;1;;0;0
OD10;OD3;19;;0;0
OD10;OD4;12;;0;0
OD10;OD6;0,3;;0;0
OD1;OD4;;4;0;0
OD1;OD5;;0,3;0;0
OD1;OD10;;1;0;0
OD2;OD5;;0,15;0;0
OD3;OD4;;3;0;0
OD3;OD5;;1,2;0;0
OD3;OD6;;0,4;0;0
OD4;OD1;;4;0;0
OD4;OD2;;1;0;0
OD4;OD3;;2;0;0
OD4;OD5;;0,55;0;0
OD4;OD9;;2;0;0
OD9;OD1;;2;0;0
OD9;OD4;;2;0;0
OD9;OD5;;0,9;0;0
OD9;OD6;;0,3;0;0
OD9;OD10;;4;0;0
OD10;OD1;;1;0;0
OD10;OD4;;2;0;0
OD10;OD5;;0,9;0;0
OD10;OD6;;0,3;0;0
OD3;OD10;;2;0;0
OD5;OD3;;0,4;0;0
OD5;OD9;;0,3;0;0
OD5;OD10;;0,3;0;0
OD9;OD10;;1;0;0
OD1;OD4;2;;0;15
OD1;OD9;1;;0;15
OD1;OD10;2;;0;15
OD2;OD3;1;;0;15
OD3;OD1;1;;0;15
OD3;OD2;1;;0;15
OD3;OD4;4;;0;15
OD3;OD5;0,4;;0;15
OD3;OD10;10;;0;15
OD4;OD2;1;;0;15
OD4;OD3;6;;0;15
OD4;OD9;4;;0;15
OD4;OD10;10;;0;15
OD6;OD5;2;;0;15
OD7;OD3;0,5;;0;15
OD7;OD9;0,2;;0;15
OD7;OD10;0,3;;0;15
OD9;OD4;3;;0;15
OD9;OD5;0,3;;0;15
OD9;OD10;3;;0;15
OD10;OD3;13;;0;15
OD10;OD4;10;;0;15
OD10;OD5;0,3;;0;15
OD1;OD4;;2;0;15
OD1;OD5;;0,3;0;15
OD1;OD10;;4;0;15
OD2;OD3;;3,55;0;15
OD2;OD4;;1;0;15
OD2;OD5;;0,15;0;15
OD2;OD9;;0,42;0;15
OD2;OD10;;0,37;0;15
OD3;OD2;;0,2;0;15
OD3;OD4;;1;0;15
OD3;OD5;;0,4;0;15
