Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;Start_hour;Start_minute;End_hour;End_minute
40;22;K1;75;0;56;4022;1;6;30;7;30
40;22;K1;75;0;56;4022;1;12;0;14;0
40;22;K1;75;0;56;4022;1;16;30;18;0
40;22;K1;75;0;56;4022;6;8;0;20;0
40;24;K1;60;0;41;4024;1;0;0;5;0
40;24;K1;60;0;41;4024;1;5;0;6;30
40;24;K1;60;0;41;4024;1;9;30;12;0
40;24;K1;60;0;41;4024;1;18;0;23;59
40;24;K1;60;0;41;4024;6;0;0;5;0
40;24;K1;60;0;41;4024;6;5;0;8;0
40;24;K1;60;0;41;4024;6;20;0;23;59
40;24;K1;60;0;41;4024;7;0;0;23;59
40;25;K1;90;82;30;4025;1;7;30;9;30
40;27;K1;90;82;63;4027;1;14;0;16;30
50;22;K1;75;54;33;5022;1;6;30;7;30
50;22;K1;75;54;33;5022;1;12;0;14;0
50;22;K1;75;54;33;5022;1;16;30;18;0
50;22;K1;75;54;33;5022;6;8;0;20;0
50;22;K2;75;54;33;5022;1;6;30;7;30
50;22;K2;75;54;33;5022;1;12;0;14;0
50;22;K2;75;54;33;5022;1;16;30;18;0
50;22;K2;75;54;33;5022;6;8;0;20;0
50;24;K1;60;0;38;5024;1;0;0;5;0
50;24;K1;60;0;38;5024;1;5;0;6;30
50;24;K1;60;0;38;5024;1;9;30;12;0
50;24;K1;60;0;38;5024;1;18;0;23;59
50;24;K1;60;0;38;5024;6;0;0;5;0
50;24;K1;60;0;38;5024;6;5;0;8;0
50;24;K1;60;0;38;5024;6;20;0;23;59
50;24;K1;60;0;38;5024;7;0;0;23;59
50;24;K2;60;0;38;5024;1;0;0;5;0
50;24;K2;60;0;38;5024;1;5;0;6;30
50;24;K2;60;0;38;5024;1;9;30;12;0
50;24;K2;60;0;38;5024;1;18;0;23;59
50;24;K2;60;0;38;5024;6;0;0;5;0
50;24;K2;60;0;38;5024;6;5;0;8;0
50;24;K2;60;0;38;5024;6;20;0;23;59
50;24;K2;60;0;38;5024;7;0;0;23;59
50;25;K1;90;54;33;5025;1;7;30;9;30
50;25;K2;90;54;33;5025;1;7;30;9;30
50;27;K1;90;54;33;5027;1;14;0;16;30
50;27;K2;90;54;33;5027;1;14;0;16;30
70;1;K1;90;65;0;701;1;5;0;9;0
70;1;K2;90;18;32;701;1;5;0;9;0
70;1;K3;90;65;11;701;1;5;0;9;0
70;1;K4;90;18;58;701;1;5;0;9;0
70;1;K5;90;41;58;701;1;5;0;9;0
70;2;K1;75;24;59;702;1;9;0;14;0
70;2;K2;75;71;10;702;1;9;0;14;0
70;2;K3;75;24;64;702;1;9;0;14;0
70;2;K4;75;71;17;702;1;9;0;14;0
70;2;K5;75;0;75;702;1;9;0;14;0
70;3;K1;90;72;21;703;1;14;0;20;0
70;3;K2;90;48;59;703;1;14;0;20;0
70;3;K3;90;72;41;703;1;14;0;20;0
70;3;K4;90;48;65;703;1;14;0;20;0
70;3;K5;90;0;90;703;1;14;0;20;0
70;4;K1;60;29;53;704;1;0;0;5;0
70;4;K1;60;29;53;704;1;20;0;23;59
70;4;K1;60;29;53;704;6;0;0;23;59
70;4;K1;60;29;53;704;7;0;0;23;59
70;4;K2;60;1;21;704;1;0;0;5;0
70;4;K2;60;1;21;704;1;20;0;23;59
70;4;K2;60;1;21;704;6;0;0;23;59
